"Group","day","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"A","1","blue",5476.55116643033,246.122890151101,200,18,4991.22236879151,5961.87996406915
"B","1","blue",6000.14763813703,327.302730382158,200,17,5354.74062011139,6645.55465616268
"A","2","blue",5097.42254408423,204.319332005258,200,21,4694.52602488766,5500.3190632808
"B","2","blue",5484.13250656639,254.273972659353,200,16,4982.73062011102,5985.53439302176
"A","1","green",5430.35862401473,229.106260510819,200,18,4978.58485410256,5882.1323939269
"B","1","green",5916.41251550175,289.79180804541,200,17,5344.97314357697,6487.85188742654
"A","2","green",5203.8372177462,214.71212695064,200,21,4780.44718544383,5627.22725004857
"B","2","green",5386.55873267349,216.044649350728,200,16,4960.54110448248,5812.5763608645
"A","1","yellow",5464.29943933235,263.591627903164,200,18,4944.52410368859,5984.07477497611
"B","1","yellow",5696.90010604381,308.195960200587,200,17,5089.16965598505,6304.63055610257
"A","2","yellow",5163.34445071593,221.108651920266,200,21,4727.34113498157,5599.34776645029
"B","2","yellow",5299.57512416521,233.149030016858,200,16,4839.82943233106,5759.32081599936
