contrast,Group,day,condition,log_diff,se,ci_low,ci_high,ratio,pct_change,pct_ci_low,pct_ci_high
structured_minus_random,A,1.0,,-0.05742951912347033,0.00847098329141534,-0.07403264637464439,-0.04082639187229627,0.9441884352698507,-0.055811564730149255,-0.07135862342787447,-0.04000422144867788
structured_minus_random,A,2.0,,-0.09813255394149517,0.007793888282426046,-0.11340857497505022,-0.08285653290794012,0.9065287318329829,-0.09347126816701712,-0.10721418435442187,-0.07951680320495191
structured_minus_random,B,1.0,,-0.08465428099958075,0.008018136151819542,-0.10036982785714706,-0.06893873414201444,0.9188298864476611,-0.08117011355233894,-0.09549715417654359,-0.06661613711030312
structured_minus_random,B,2.0,,-0.07908221166844703,0.008728093126392342,-0.09618927419617603,-0.06197514914071804,0.9239639607037823,-0.07603603929621772,-0.09170791645598164,-0.06009375602132805
day2_minus_day1,A,,random,-0.10884025994474088,0.01011377730482603,-0.1286632634621999,-0.08901725642728187,0.8968736727061719,-0.10312632729382809,-0.12073000196476202,-0.08517021325544993
day2_minus_day1,A,,structured,-0.14954329476276573,0.005844602707489678,-0.1609987160694455,-0.13808787345608597,0.8611011560423816,-0.13889884395761842,-0.14870683589224631,-0.12897785134373518
day2_minus_day1,B,,random,-0.1239354485664916,0.010378404635616404,-0.14427712165229975,-0.10359377548068344,0.8834368661583242,-0.11656313384167583,-0.13435217493877905,-0.09840852839612413
day2_minus_day1,B,,structured,-0.11836337923535786,0.006003624913840595,-0.13013048406648542,-0.10659627440423029,0.8883731775891455,-0.11162682241085453,-0.12201913906708595,-0.10111149595988944
B_minus_A,,1.0,random,-0.024849477721642938,0.09807631426752444,-0.21707905368599087,0.16738009824270497,0.9754567289477268,-0.024543271052273163,-0.1951336608609039,0.18220353340551254
B_minus_A,,1.0,structured,-0.052074239597753355,0.09772111654571344,-0.2436076280273517,0.13945914883184501,0.9492583916657363,-0.050741608334263666,-0.2162048868294283,0.14965184013812838
B_minus_A,,2.0,random,-0.03994466634339366,0.09808787000393113,-0.23219689155109868,0.15230755886431135,0.9608426046161265,-0.03915739538387353,-0.2072099857166937,0.16451833929833848
B_minus_A,,2.0,structured,-0.020894324070345506,0.09772913152873024,-0.21244342186665677,0.17065477372596577,0.9793224499117343,-0.02067755008826566,-0.19139393555099504,0.18608121193679938
