BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;3,949493;1;4;4;yellow
1;2;4,43277;1;3;3;yellow
1;3;4,96579;1;1;1;yellow
1;4;5,765594;1;4;4;yellow
1;5;6,265717;1;3;3;yellow
1;6;6,798248;1;1;1;yellow
1;7;7,614441;1;4;4;yellow
1;8;8,164398;1;2;2;yellow
2;9;3,881897;1;4;4;yellow
2;10;4,431458;1;3;3;yellow
2;11;5,031799;1;1;1;yellow
2;12;5,564423;1;4;4;yellow
2;13;6,014679;1;3;3;yellow
2;14;6,481384;1;1;1;yellow
2;15;7,181183;1;4;4;yellow
2;16;7,647644;1;2;2;yellow
3;17;4,448547;1;2;2;blue
3;18;5,29834;1;3;3;blue
3;19;5,781128;1;1;1;blue
3;20;6,463898;1;4;4;blue
3;21;7,246857;1;3;3;blue
3;22;7,830688;1;1;1;blue
3;23;8,730347;1;2;2;blue
3;24;9,379608;1;4;4;blue
4;25;6,865021;1;3;3;green
4;26;7,364716;1;4;4;green
4;27;8,264313;1;2;2;green
4;28;8,747467;1;1;1;green
4;29;10,09705;1;3;3;green
4;30;11,09671;1;2;2;green
4;31;11,92981;1;4;4;green
4;32;12,66281;1;1;1;green
5;33;4,366608;1;2;2;blue
5;34;5,148193;1;3;3;blue
5;35;5,748535;1;1;1;blue
5;36;6,231384;1;4;4;blue
5;37;6,881256;1;3;3;blue
5;38;7,364105;1;1;1;blue
5;39;8,180359;1;2;2;blue
5;40;8,946564;1;4;4;blue
6;41;4,448273;1;3;3;green
6;42;4,881714;1;4;4;green
6;43;5,532074;1;2;2;green
6;44;5,981628;1;1;1;green
6;45;6,731293;1;3;3;green
6;46;7,497253;1;2;2;green
6;47;7,980652;1;4;4;green
6;48;8,448364;1;1;1;green
7;49;4,181244;1;2;2;blue
7;50;4,647583;1;3;3;blue
7;51;5,097351;1;1;1;blue
7;52;6,113464;1;4;4;blue
7;53;6,929993;1;3;3;blue
7;54;7,346741;1;1;1;blue
7;55;8,346039;1;2;2;blue
7;56;8,845978;1;4;4;blue
8;57;5,264496;1;2;2;blue
8;58;6,097626;1;3;3;blue
8;59;6,547607;1;1;1;blue
8;60;7,113922;1;4;4;blue
8;61;8,514069;1;3;3;blue
8;62;9,280426;1;1;1;blue
8;63;10,36316;1;2;2;blue
8;64;11,41248;1;4;4;blue
9;65;4,531555;1;2;2;blue
9;66;5,448486;1;3;3;blue
9;67;6,115295;1;1;1;blue
9;68;6,681091;1;4;4;blue
9;69;7,46463;1;3;3;blue
9;70;7,931091;1;1;1;blue
9;71;8,597748;1;2;2;blue
9;72;9,180695;1;4;4;blue
10;73;4,299042;1;2;2;blue
10;74;4,848145;1;3;3;blue
10;75;5,331146;1;1;1;blue
10;76;5,831604;1;4;4;blue
10;77;6,497772;1;3;3;blue
10;78;7,065216;1;1;1;blue
10;79;7,680664;1;2;2;blue
10;80;8,680145;1;4;4;blue
11;81;5,49826;1;2;2;blue
11;82;5,998505;1;3;3;blue
11;83;6,848175;1;1;1;blue
11;84;7,364227;1;4;4;blue
11;85;8,047333;1;3;3;blue
11;86;9,097198;1;1;1;blue
11;87;9,997406;1;2;2;blue
11;88;10,46326;1;4;4;blue
12;89;4,832062;1;2;2;blue
12;90;5,731018;1;3;3;blue
12;91;6,197449;1;1;1;blue
12;92;6,664795;1;4;4;blue
12;93;7,480713;1;3;3;blue
12;94;7,963348;1;1;1;blue
12;95;8,880707;1;2;2;blue
12;96;9,362915;1;4;4;blue
13;97;4,082428;1;2;2;blue
13;98;5,565094;1;3;3;blue
13;99;5,982086;1;1;1;blue
13;100;6,49826;1;4;4;blue
13;101;7,298187;1;3;3;blue
13;102;7,747955;1;1;1;blue
13;103;8,348114;1;2;2;blue
13;104;8,797333;1;4;4;blue
14;105;4,431702;1;3;3;green
14;106;4,865479;1;4;4;green
14;107;5,665405;1;2;2;green
14;108;6,098267;1;1;1;green
14;109;7,264893;1;3;3;green
14;110;7,781311;1;2;2;green
14;111;8,264343;1;4;4;green
14;112;9,346619;1;1;1;green
15;113;4,382202;1;2;2;yellow
15;114;4,83252;1;1;1;yellow
15;115;5,382019;1;4;4;yellow
15;116;6,015442;1;1;1;yellow
15;117;7,214783;1;3;3;yellow
15;118;7,681641;1;2;2;yellow
15;119;8,21405;1;4;4;yellow
15;120;8,88092;1;3;3;yellow
16;121;4,565125;1;2;2;blue
16;122;5,147461;1;3;3;blue
16;123;5,63092;1;1;1;blue
16;124;6,197327;1;4;4;blue
16;125;6,997314;1;3;3;blue
16;126;7,463928;1;1;1;blue
16;127;8,79718;1;2;2;blue
16;128;9,3797;1;4;4;blue
17;129;5,464661;1;2;2;yellow
17;130;6,348267;1;3;3;yellow
17;131;6,997437;1;1;1;yellow
17;132;7,681274;1;4;4;yellow
17;133;8,646973;1;3;3;yellow
17;134;9,180725;1;1;1;yellow
17;135;10,21368;1;2;2;yellow
17;136;10,66345;1;4;4;yellow
18;137;4,215027;0;3;2;green
18;138;6,364624;1;4;4;green
18;139;7,31427;1;2;2;green
18;140;8,063721;1;1;1;green
18;141;8,86377;1;3;3;green
18;142;9,663025;1;2;2;green
18;143;10,17957;1;4;4;green
18;144;11,22894;1;1;1;green
19;145;4,46582;1;3;3;green
19;146;4,9151;1;4;4;green
19;147;5,815002;1;2;2;green
19;148;6,231323;1;1;1;green
19;149;7,014221;1;3;3;green
19;150;7,764465;1;2;2;green
19;151;8,214233;1;4;4;green
19;152;9,463623;1;1;1;green
20;153;4,53186;1;2;2;blue
