BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;6,497364;0;2;1;blue
1;2;34,90422;1;3;3;blue
1;3;36,87011;1;1;1;blue
1;4;37,02174;0;4;2;blue
1;5;38,46977;1;3;3;blue
1;6;39,50249;0;1;3;blue
1;7;39,65268;0;2;1;blue
1;8;41,43548;1;4;4;blue
2;9;4,881508;1;1;1;yellow
2;10;4,998474;1;3;3;yellow
2;11;6,683075;1;4;4;yellow
2;12;7,697693;0;2;1;yellow
2;13;8,947998;0;4;3;yellow
2;14;9,232086;0;1;3;yellow
2;15;17,49434;1;3;3;yellow
2;16;18,86047;1;2;2;yellow
3;17;9,064903;1;3;3;green
3;18;17,69488;0;4;2;green
3;19;20,48286;0;2;3;green
3;20;22,17605;0;1;3;green
3;21;22,92648;1;3;3;green
3;22;26,0263;0;2;3;green
3;23;27,7409;1;4;4;green
3;24;29,22395;0;1;3;green
4;25;28,8246;1;2;2;yellow
4;26;30,77367;1;4;4;yellow
4;27;31,97279;1;1;1;yellow
4;28;33,42261;1;3;3;yellow
4;29;36,18736;1;4;4;yellow
4;30;39,86954;1;2;2;yellow
4;31;42,02054;0;3;2;yellow
4;32;43,56995;1;1;1;yellow
5;33;5,347382;1;3;3;green
5;34;6,613907;1;4;4;green
5;35;8,578857;1;2;2;green
5;36;9,728439;1;1;1;green
5;37;11,66273;1;3;3;green
5;38;13,4119;1;2;2;green
5;39;14,72829;1;4;4;green
5;40;16,07654;1;1;1;green
6;41;5,203873;1;2;2;blue
6;42;11,64621;1;3;3;blue
6;43;13,11359;1;1;1;blue
6;44;14,39511;1;4;4;blue
6;45;15,66173;1;3;3;blue
6;46;16,99557;1;1;1;blue
6;47;19,34384;1;2;2;blue
6;48;20,91106;1;4;4;blue
7;49;5,297287;1;2;2;blue
7;50;7,895554;1;3;3;blue
7;51;10,24724;1;1;1;blue
7;52;11,44547;1;4;4;blue
7;53;13,67813;1;3;3;blue
7;54;15,06139;1;1;1;blue
7;55;18,24269;1;2;2;blue
7;56;19,77623;1;4;4;blue
8;57;6,24733;1;2;2;yellow
8;58;6,479416;0;4;2;yellow
8;59;11,12987;1;1;1;yellow
8;60;14,91029;1;3;3;yellow
8;61;17,1098;1;4;4;yellow
8;62;19,17535;1;2;2;yellow
8;63;20,64249;1;3;3;yellow
8;64;21,72467;1;1;1;yellow
9;65;4,165649;1;1;1;yellow
9;66;5,365173;1;3;3;yellow
9;67;6,548218;1;4;4;yellow
9;68;8,532196;1;2;2;yellow
9;69;10,08142;1;4;4;yellow
9;70;11,14725;1;1;1;yellow
9;71;12,29565;1;3;3;yellow
9;72;13,51373;1;2;2;yellow
10;73;5,913025;1;3;3;green
10;74;7,195953;1;4;4;green
10;75;8,780426;1;2;2;green
10;76;10,26276;1;1;1;green
10;77;11,52783;1;3;3;green
10;78;13,09402;1;2;2;green
10;79;15,84308;0;4;1;green
10;80;26,64038;1;1;1;green
11;81;6,980225;1;2;2;yellow
11;82;8,545746;1;1;1;yellow
11;83;10,11365;1;4;4;yellow
11;84;14,49445;0;1;3;yellow
11;85;20,76004;0;3;2;yellow
11;86;24,49084;0;2;4;yellow
11;87;31,33984;1;4;4;yellow
11;88;36,88663;1;3;3;yellow
12;89;8,397217;1;2;2;blue
12;90;10,24658;1;3;3;blue
12;91;11,51285;1;1;1;blue
12;92;12,70163;1;4;4;blue
12;93;14,12872;1;3;3;blue
12;94;15,22827;1;1;1;blue
12;95;16,77759;1;2;2;blue
12;96;18,27716;1;4;4;blue
13;97;5,298126;1;2;2;blue
13;98;6,631348;1;3;3;blue
13;99;7,71463;1;1;1;blue
13;100;9,030914;1;4;4;blue
13;101;10,06302;1;3;3;blue
13;102;11,12964;1;1;1;blue
13;103;12,39624;1;2;2;blue
13;104;13,62915;1;4;4;blue
14;105;5,13089;1;2;2;blue
14;106;6,164307;1;3;3;blue
14;107;7,213776;1;1;1;blue
14;108;8,397308;1;4;4;blue
14;109;9,581238;1;3;3;blue
14;110;10,97913;1;1;1;blue
14;111;12,33014;1;2;2;blue
14;112;13,72943;1;4;4;blue
15;113;5,215424;1;3;3;green
15;114;6,21347;1;4;4;green
15;115;7,248108;1;2;2;green
15;116;8,279266;1;1;1;green
15;117;9,635071;1;3;3;green
15;118;10,79514;1;2;2;green
15;119;11,91144;1;4;4;green
15;120;12,83392;1;1;1;green
16;121;5,643311;1;3;3;green
16;122;6,792145;1;4;4;green
