BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;7,715485;1;2;2;blue
1;2;7,782227;0;3;4;blue
1;3;9,963745;1;1;1;blue
1;4;11,6813;1;4;4;blue
1;5;13,72861;1;3;3;blue
1;6;15,22867;1;1;1;blue
1;7;17,47766;0;2;1;blue
1;8;17,6113;0;4;2;blue
2;9;5,11438;1;1;1;yellow
2;10;7,713501;1;3;3;yellow
2;11;9,129547;1;4;4;yellow
2;12;10,34647;1;2;2;yellow
2;13;11,43045;1;4;4;yellow
2;14;12,38007;1;1;1;yellow
2;15;14,97864;1;3;3;yellow
2;16;16,7605;1;2;2;yellow
3;17;4,981537;1;3;3;green
3;18;6,014587;1;4;4;green
3;19;7,047424;1;2;2;green
3;20;8,013489;1;1;1;green
3;21;10,2128;1;3;3;green
3;22;12,26221;1;2;2;green
3;23;13,71155;1;4;4;green
3;24;14,61295;1;1;1;green
4;25;5,730042;1;2;2;yellow
4;26;5,829498;0;4;1;yellow
4;27;6,962433;0;1;4;yellow
4;28;7,779144;0;3;1;yellow
4;29;8,796173;0;4;2;yellow
4;30;15,90921;1;2;2;yellow
4;31;16,92633;1;3;3;yellow
4;32;18,04272;1;1;1;yellow
5;33;5,465179;1;3;3;green
5;34;7,1474;1;4;4;green
5;35;8,163971;1;2;2;green
5;36;9,452637;1;1;1;green
5;37;10,92932;1;3;3;green
5;38;11,87915;1;2;2;green
5;39;13,61197;1;4;4;green
5;40;14,39517;1;1;1;green
6;41;4,964539;1;2;2;blue
6;42;5,914581;1;3;3;blue
6;43;6,880524;1;1;1;blue
6;44;7,863922;1;4;4;blue
6;45;9,263184;1;3;3;blue
6;46;10,41318;1;1;1;blue
6;47;11,44589;1;2;2;blue
6;48;12,46161;1;4;4;blue
7;49;4,899048;1;2;2;blue
7;50;6,415497;1;3;3;blue
7;51;7,281433;1;1;1;blue
7;52;8,164856;1;4;4;blue
7;53;9,931854;1;3;3;blue
7;54;11,71347;1;1;1;blue
7;55;14,7294;1;2;2;blue
7;56;15,44568;1;4;4;blue
8;57;5,481384;1;2;2;yellow
8;58;6,298157;1;4;4;yellow
8;59;7,131042;1;1;1;yellow
8;60;8,747101;1;3;3;yellow
8;61;9,78006;1;4;4;yellow
8;62;11,11282;1;2;2;yellow
8;63;12,56363;1;3;3;yellow
8;64;13,99481;1;1;1;yellow
9;65;4,432281;1;1;1;yellow
9;66;6,431244;1;3;3;yellow
9;67;7,614288;1;4;4;yellow
9;68;8,564148;1;2;2;yellow
9;69;9,46344;1;4;4;yellow
9;70;10,93387;1;1;1;yellow
9;71;12,31699;1;3;3;yellow
9;72;13,24625;1;2;2;yellow
10;73;4,764832;1;3;3;green
10;74;5,564209;1;4;4;green
10;75;6,431946;1;2;2;green
10;76;7,747101;1;1;1;green
10;77;9,59668;1;3;3;green
10;78;10,82965;1;2;2;green
10;79;11,92923;1;4;4;green
10;80;12,74515;1;1;1;green
11;81;5,01532;1;2;2;yellow
11;82;5,881226;1;1;1;yellow
11;83;6,681458;1;4;4;yellow
11;84;7,681305;1;1;1;yellow
11;85;8,947052;1;3;3;yellow
11;86;9,863251;1;2;2;yellow
11;87;10,0798;0;4;2;yellow
11;88;14,51221;1;3;3;yellow
12;89;6,697449;1;2;2;blue
12;90;7,730377;1;3;3;blue
12;91;8,58429;1;1;1;blue
12;92;9,847839;1;4;4;blue
12;93;12,06281;1;3;3;blue
12;94;14,39395;1;1;1;blue
12;95;16,22726;1;2;2;blue
12;96;17,29337;1;4;4;blue
13;97;5,550262;1;2;2;blue
13;98;7,380951;1;3;3;blue
13;99;8,264862;1;1;1;blue
13;100;9,063965;1;4;4;blue
13;101;10,16318;1;3;3;blue
13;102;11,31277;1;1;1;blue
13;103;12,18002;1;2;2;blue
13;104;13,01242;1;4;4;blue
14;105;4,531342;1;2;2;blue
14;106;5,348022;1;3;3;blue
14;107;6,114502;1;1;1;blue
14;108;7,297668;1;4;4;blue
14;109;8,480682;1;3;3;blue
14;110;9,44696;1;1;1;blue
14;111;11,33139;1;2;2;blue
14;112;12,51276;1;4;4;blue
15;113;5,414459;1;3;3;green
15;114;6,28064;1;4;4;green
15;115;7,013824;1;2;2;green
15;116;7,830658;1;1;1;green
15;117;9,013245;1;3;3;green
15;118;10,07935;1;2;2;green
15;119;11,14581;1;4;4;green
15;120;12,29541;1;1;1;green
16;121;4,948547;1;3;3;green
16;122;5,814697;1;4;4;green
16;123;6,581421;1;2;2;green
16;124;7,497437;1;1;1;green
16;125;8,663696;1;3;3;green
16;126;9,496826;1;2;2;green
16;127;10,44659;1;4;4;green
16;128;11,14618;1;1;1;green
17;129;4,698364;1;2;2;blue
17;130;5,731567;1;3;3;blue
17;131;7,014771;1;1;1;blue
17;132;7,964233;1;4;4;blue
17;133;9,163696;1;3;3;blue
17;134;9,863831;1;1;1;blue
17;135;10,96301;1;2;2;blue
17;136;11,7627;1;4;4;blue
18;137;4,515076;1;4;4;yellow
18;138;5,381714;1;3;3;yellow
18;139;6,281433;1;1;1;yellow
18;140;7,181335;1;4;4;yellow
18;141;8,030701;1;3;3;yellow
18;142;8,863831;1;1;1;yellow
18;143;9,613647;1;4;4;yellow
18;144;10,82977;1;2;2;yellow
19;145;4,581848;1;2;2;blue
19;146;5,498047;1;3;3;blue
19;147;6,231628;1;1;1;blue
19;148;7,180847;1;4;4;blue
19;149;8,230835;1;3;3;blue
19;150;9,0802;1;1;1;blue
19;151;10,66327;1;2;2;blue
19;152;11,79608;1;4;4;blue
20;153;4,615112;1;2;2;blue
20;154;5,598083;1;3;3;blue
20;155;6,347839;1;1;1;blue
20;156;7,264465;1;4;4;blue
20;157;8,347046;1;3;3;blue
20;158;9,446777;1;1;1;blue
20;159;10,71307;1;2;2;blue
20;160;12,17908;1;4;4;blue
21;161;4,365112;1;2;2;blue
21;162;5,89801;1;3;3;blue
21;163;6,997925;1;1;1;blue
21;164;7,980713;1;4;4;blue
21;165;8,880432;1;3;3;blue
21;166;9,796936;1;1;1;blue
21;167;11,49622;1;2;2;blue
21;168;12,34589;1;4;4;blue
22;169;4,048584;1;1;1;yellow
22;170;4,999451;1;2;2;yellow
22;171;5,89978;1;4;4;yellow
22;172;6,798096;1;1;1;yellow
22;173;7,947449;1;3;3;yellow
22;174;9,06366;1;4;4;yellow
22;175;10,64636;1;2;2;yellow
22;176;11,29633;1;3;3;yellow
23;177;4,148682;1;2;2;blue
23;178;5,647949;1;3;3;blue
23;179;6,43103;1;1;1;blue
23;180;7,214478;1;4;4;blue
23;181;8,163879;1;3;3;blue
23;182;8,99707;1;1;1;blue
23;183;10,19672;1;2;2;blue
23;184;11,06317;1;4;4;blue
24;185;5,181274;1;3;3;green
24;186;6,047607;1;4;4;green
24;187;6,88092;1;2;2;green
24;188;7,697021;1;1;1;green
24;189;8,963318;1;3;3;green
24;190;10,19617;1;2;2;green
24;191;11,17932;1;4;4;green
24;192;11,96222;1;1;1;green
25;193;4,415344;1;2;2;blue
25;194;5,448303;1;3;3;blue
25;195;6,331543;1;1;1;blue
25;196;7,36438;1;4;4;blue
25;197;8,580872;1;3;3;blue
25;198;9,463928;1;1;1;blue
25;199;10,79675;1;2;2;blue
25;200;11,89655;1;4;4;blue
26;201;4,331665;1;2;2;yellow
26;202;5,097961;1;1;1;yellow
26;203;5,947449;1;3;3;yellow
26;204;6,847534;1;4;4;yellow
26;205;7,680359;1;2;2;yellow
26;206;8,563293;1;4;4;yellow
26;207;9,413147;1;1;1;yellow
26;208;10,5293;1;2;2;yellow
27;209;4,731812;1;2;2;blue
27;210;5,748108;1;3;3;blue
27;211;6,647827;1;1;1;blue
27;212;7,580872;1;4;4;blue
27;213;8,414001;1;3;3;blue
27;214;9,230286;1;1;1;blue
27;215;10,36322;1;2;2;blue
27;216;11,1297;1;4;4;blue
28;217;4,198792;1;2;2;yellow
28;218;5,048096;1;1;1;yellow
28;219;5,997864;1;3;3;yellow
28;220;6,897644;1;4;4;yellow
28;221;7,814026;1;2;2;yellow
28;222;8,797241;1;4;4;yellow
28;223;9,613464;1;1;1;yellow
28;224;10,58002;1;2;2;yellow
29;225;4,264954;1;2;2;blue
29;226;5,331055;1;3;3;blue
29;227;6,231262;1;1;1;blue
29;228;7,280518;1;4;4;blue
29;229;8,397217;1;3;3;blue
29;230;9,330139;1;1;1;blue
29;231;10,47986;1;2;2;blue
29;232;11,49664;1;4;4;blue
30;233;5,164307;1;3;3;green
30;234;6,996826;1;4;4;green
30;235;8,113037;1;2;2;green
30;236;9,013;1;1;1;green
30;237;10,54547;1;3;3;green
30;238;11,57849;1;2;2;green
30;239;12,51166;1;4;4;green
30;240;13,37805;1;1;1;green
31;241;4,698669;1;3;3;green
31;242;5,664612;1;4;4;green
31;243;6,514587;1;2;2;green
31;244;7,347473;1;1;1;green
31;245;8,213684;1;3;3;green
31;246;8,980652;1;2;2;green
31;247;9,746643;1;4;4;green
31;248;10,51312;1;1;1;green
32;249;4,514954;1;3;3;green
32;250;5,281433;1;4;4;green
32;251;5,98114;1;2;2;green
32;252;6,764343;1;1;1;green
