BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,765594;0;2;3;blue
1;2;4,79834;0;3;4;blue
1;3;4,931915;0;1;2;blue
1;4;15,39594;1;4;4;blue
1;5;18,57718;0;3;2;blue
1;6;18,61053;0;1;4;blue
1;7;33,17188;1;2;2;blue
1;8;35,68753;1;4;4;blue
2;9;4,865479;1;1;1;yellow
2;10;7,231018;1;3;3;yellow
2;11;9,663727;1;4;4;yellow
2;12;11,62949;1;2;2;yellow
2;13;14,16232;1;4;4;yellow
2;14;17,01083;1;1;1;yellow
2;15;19,67715;1;3;3;yellow
2;16;22,17734;1;2;2;yellow
3;17;5,297424;1;3;3;green
3;18;7,312561;1;4;4;green
3;19;9,929077;1;2;2;green
3;20;12,078;1;1;1;green
3;21;17,41089;1;3;3;green
3;22;19,40906;1;2;2;green
3;23;20,95862;1;4;4;green
3;24;22,49115;1;1;1;green
4;25;4,531677;1;2;2;yellow
4;26;6,181213;1;4;4;yellow
4;27;7,631042;1;1;1;yellow
4;28;8,980164;1;3;3;yellow
4;29;10,57977;1;4;4;yellow
4;30;12,33044;1;2;2;yellow
4;31;13,64618;1;3;3;yellow
4;32;14,92902;1;1;1;yellow
5;33;4,49762;1;3;3;green
5;34;5,947449;1;4;4;green
5;35;7,480042;1;2;2;green
5;36;8,846191;1;1;1;green
5;37;10,27893;1;3;3;green
5;38;11,77899;1;2;2;green
5;39;13,01282;1;4;4;green
5;40;14,29431;1;1;1;green
6;41;4,765564;1;2;2;blue
6;42;6,198059;1;3;3;blue
6;43;7,797607;1;1;1;blue
6;44;9,046753;1;4;4;blue
6;45;10,34753;1;3;3;blue
6;46;11,39612;1;1;1;blue
6;47;12,81274;1;2;2;blue
6;48;14,12939;1;4;4;blue
7;49;4,548157;1;2;2;blue
7;50;5,764221;1;3;3;blue
7;51;7,330383;1;1;1;blue
7;52;8,814087;1;4;4;blue
7;53;10,07928;1;3;3;blue
7;54;11,47839;1;1;1;blue
7;55;12,81201;1;2;2;blue
7;56;13,91119;1;4;4;blue
8;57;4,698608;1;2;2;yellow
8;58;6,447876;1;4;4;yellow
8;59;7,714172;1;1;1;yellow
8;60;9,081482;1;3;3;yellow
8;61;10,41333;1;4;4;yellow
8;62;11,86261;1;2;2;yellow
8;63;13,16235;1;3;3;yellow
8;64;14,3623;0;1;4;yellow
9;65;4,281616;1;1;1;yellow
9;66;5,580872;1;3;3;yellow
9;67;7,080627;1;4;4;yellow
