BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;7,749084;0;2;4;blue
1;2;15,44641;0;3;2;blue
1;3;16,87836;1;1;1;blue
1;4;17,62903;1;4;4;blue
1;5;19,79483;0;3;1;blue
1;6;21,24472;0;1;2;blue
1;7;24,45972;0;2;3;blue
1;8;25,5762;0;4;1;blue
2;9;9,095825;0;1;4;yellow
2;10;11,94617;0;3;2;yellow
2;11;24,97345;1;4;4;yellow
2;12;27,67291;1;2;2;yellow
2;13;27,95761;0;4;1;yellow
2;14;28,69031;1;1;1;yellow
2;15;29,94012;0;3;1;yellow
2;16;33,02118;0;2;1;yellow
3;17;7,482025;0;3;4;green
3;18;7,680908;1;4;4;green
3;19;14,52914;1;2;2;green
3;20;16,06219;1;1;1;green
3;21;17,66205;0;3;1;green
3;22;18,56024;0;2;3;green
3;23;20,29303;1;4;4;green
3;24;21,47742;1;1;1;green
4;25;10,44513;1;2;2;yellow
4;26;12,37909;1;4;4;yellow
4;27;13,74445;1;1;1;yellow
4;28;15,51086;0;3;1;yellow
4;29;15,90997;0;4;3;yellow
4;30;19,30835;1;2;2;yellow
4;31;20,90808;1;3;3;yellow
4;32;22,59235;1;1;1;yellow
5;33;7,147705;1;3;3;green
5;34;10,19659;1;4;4;green
5;35;12,49469;1;2;2;green
5;36;13,92816;1;1;1;green
5;37;15,54462;1;3;3;green
5;38;17,29407;0;2;4;green
5;39;22,44147;1;4;4;green
5;40;23,57379;1;1;1;green
6;41;7,532471;1;2;2;blue
6;42;8,798157;1;3;3;blue
6;43;10,28088;1;1;1;blue
6;44;11,83008;1;4;4;blue
6;45;13,26294;1;3;3;blue
6;46;14,61218;1;1;1;blue
6;47;16,06201;1;2;2;blue
6;48;17,41248;1;4;4;blue
7;49;6,929871;1;2;2;blue
7;50;7,862793;1;3;3;blue
7;51;9,013428;1;1;1;blue
7;52;10,52972;1;4;4;blue
7;53;12,29474;1;3;3;blue
7;54;13,91187;1;1;1;blue
7;55;15,4115;1;2;2;blue
7;56;18,94348;1;4;4;blue
8;57;5,862976;1;2;2;yellow
8;58;7,296631;1;4;4;yellow
8;59;9,145447;1;1;1;yellow
8;60;10,79639;1;3;3;yellow
8;61;12,91248;1;4;4;yellow
8;62;15,99304;1;2;2;yellow
8;63;17,92566;1;3;3;yellow
8;64;19,14209;1;1;1;yellow
9;65;6,149231;1;1;1;yellow
9;66;7,114868;1;3;3;yellow
9;67;8,114624;1;4;4;yellow
9;68;10,18121;1;2;2;yellow
9;69;13,3136;1;4;4;yellow
9;70;14,56268;1;1;1;yellow
9;71;15,99432;1;3;3;yellow
9;72;17,59576;1;2;2;yellow
10;73;5,129944;1;3;3;green
10;74;6,364319;1;4;4;green
10;75;7,779724;1;2;2;green
10;76;9,094849;1;1;1;green
10;77;10,76263;1;3;3;green
10;78;12,22906;1;2;2;green
10;79;13,81128;1;4;4;green
10;80;14,84363;1;1;1;green
11;81;5,380737;1;2;2;yellow
11;82;8,980164;1;1;1;yellow
11;83;10,32928;1;4;4;yellow
11;84;11,33014;1;1;1;yellow
