BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,697968;1;2;2;blue
1;2;4,78125;0;3;1;blue
1;3;6,681702;1;1;1;blue
1;4;7,665039;1;4;4;blue
1;5;8,529846;1;3;3;blue
1;6;9,596283;1;1;1;blue
1;7;11,06363;0;2;1;blue
1;8;11,9122;1;4;4;blue
2;9;4,198822;1;1;1;yellow
2;10;5,515717;1;3;3;yellow
2;11;6,431274;1;4;4;yellow
2;12;7,332062;1;2;2;yellow
2;13;8,182037;1;4;4;yellow
2;14;8,946899;1;1;1;yellow
2;15;9,896637;1;3;3;yellow
2;16;10,74664;1;2;2;yellow
3;17;5,031006;1;3;3;green
3;18;5,632629;1;4;4;green
3;19;6,530914;1;2;2;green
3;20;7,330688;1;1;1;green
3;21;8,480011;1;3;3;green
3;22;9,214417;1;2;2;green
3;23;9,829834;1;4;4;green
3;24;10,45239;1;1;1;green
4;25;4,742096;1;2;2;yellow
4;26;5,558716;1;4;4;yellow
4;27;6,398041;1;1;1;yellow
4;28;7,092468;1;3;3;yellow
4;29;7,857635;1;4;4;yellow
4;30;8,874481;1;2;2;yellow
4;31;9,290649;0;3;2;yellow
4;32;9,75708;0;1;3;yellow
5;33;4,483276;1;3;3;green
5;34;5,215118;1;4;4;green
5;35;5,881989;1;2;2;green
5;36;6,597839;1;1;1;green
5;37;7,531006;1;3;3;green
5;38;8,265564;1;2;2;green
5;39;8,947113;1;4;4;green
5;40;10,24738;1;1;1;green
6;41;4,215881;1;2;2;blue
6;42;5,014374;1;3;3;blue
6;43;5,680359;1;1;1;blue
6;44;6,297119;1;4;4;blue
6;45;7,213257;1;3;3;blue
6;46;7,929535;1;1;1;blue
6;47;9,012756;1;2;2;blue
6;48;10,09717;1;4;4;blue
7;49;4,147949;1;2;2;blue
7;50;4,881683;1;3;3;blue
7;51;5,3815;1;1;1;blue
7;52;5,948151;1;4;4;blue
7;53;6,764618;1;3;3;blue
7;54;7,313507;1;1;1;blue
7;55;8,380463;1;2;2;blue
7;56;9,145966;1;4;4;blue
8;57;7,825562;1;2;2;yellow
8;58;8,625763;1;4;4;yellow
8;59;10,05801;1;1;1;yellow
8;60;11,22446;1;3;3;yellow
8;61;12,02457;1;4;4;yellow
8;62;13,39081;1;2;2;yellow
8;63;14,38928;1;3;3;yellow
8;64;15,23917;1;1;1;yellow
9;65;3,9487;1;1;1;yellow
9;66;4,981781;1;3;3;yellow
9;67;5,548706;1;4;4;yellow
9;68;6,265137;1;2;2;yellow
9;69;7,098602;1;4;4;yellow
9;70;7,748749;1;1;1;yellow
9;71;8,913788;1;3;3;yellow
9;72;9,780548;1;2;2;yellow
10;73;4,631165;1;3;3;green
10;74;5,165985;1;4;4;green
10;75;5,732178;1;2;2;green
10;76;6,314056;1;1;1;green
10;77;6,963898;1;3;3;green
10;78;7,69809;1;2;2;green
10;79;8,448029;1;4;4;green
10;80;8,979523;1;1;1;green
11;81;3,966644;1;2;2;yellow
11;82;4,532166;0;1;4;yellow
11;83;5,805359;1;4;4;yellow
11;84;6,414825;1;1;1;yellow
11;85;7,081146;1;3;3;yellow
11;86;7,815155;1;2;2;yellow
11;87;8,364899;1;4;4;yellow
11;88;9,147766;1;3;3;yellow
12;89;8,363861;1;2;2;blue
12;90;9,063141;0;3;4;blue
12;91;9,980957;1;1;1;blue
12;92;10,69699;1;4;4;blue
12;93;12,6452;1;3;3;blue
12;94;13,79633;1;1;1;blue
12;95;14,86166;1;2;2;blue
12;96;15,54578;1;4;4;blue
13;97;4,863953;1;2;2;blue
13;98;5,497498;1;3;3;blue
13;99;6,012939;1;1;1;blue
13;100;6,98053;1;4;4;blue
13;101;7,895874;1;3;3;blue
13;102;9,111938;1;1;1;blue
13;103;10,26172;1;2;2;blue
13;104;11,01285;1;4;4;blue
14;105;4,780243;1;2;2;blue
14;106;5,414886;1;3;3;blue
14;107;5,929901;1;1;1;blue
14;108;6,479492;1;4;4;blue
14;109;7,929169;0;3;2;blue
14;110;8,613617;0;1;2;blue
14;111;10,56219;1;2;2;blue
14;112;11,2446;1;4;4;blue
15;113;4,132965;1;3;3;green
15;114;4,582947;1;4;4;green
15;115;6,714447;1;2;2;green
15;116;8,299042;1;1;1;green
15;117;9,44696;1;3;3;green
15;118;10,38004;1;2;2;green
15;119;11,72934;1;4;4;green
15;120;13,27887;1;1;1;green
16;121;4,566681;1;3;3;green
16;122;4,981689;1;4;4;green
16;123;5,449768;1;2;2;green
16;124;5,94928;1;1;1;green
16;125;6,581207;1;3;3;green
16;126;7,31546;1;2;2;green
16;127;7,863953;1;4;4;green
16;128;8,630463;1;1;1;green
17;129;4,083282;1;2;2;blue
17;130;4,632294;0;3;4;blue
17;131;5,681458;1;1;1;blue
17;132;6,347748;1;4;4;blue
17;133;7,047607;1;3;3;blue
17;134;7,730682;1;1;1;blue
17;135;8,66452;1;2;2;blue
17;136;9,248138;1;4;4;blue
18;137;3,831696;1;4;4;yellow
18;138;4,530151;1;3;3;yellow
18;139;5,063232;1;1;1;yellow
18;140;5,596375;1;4;4;yellow
18;141;6,330933;1;3;3;yellow
18;142;6,895996;1;1;1;yellow
18;143;7,745667;1;4;4;yellow
18;144;8,362152;1;2;2;yellow
19;145;4,943024;1;2;2;blue
19;146;5,625732;1;3;3;blue
19;147;6,075378;1;1;1;blue
19;148;6,643127;1;4;4;blue
