BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;4,682045;1;4;4;yellow
1;2;5,999489;1;3;3;yellow
1;3;6,964645;1;1;1;yellow
1;4;8,230698;1;4;4;yellow
1;5;9,996651;1;3;3;yellow
1;6;11,46265;1;1;1;yellow
1;7;13,24593;1;4;4;yellow
1;8;14,27908;1;2;2;yellow
2;9;4,281456;1;4;4;yellow
2;10;5,264771;1;3;3;yellow
2;11;6,314728;1;1;1;yellow
2;12;7,880051;1;4;4;yellow
2;13;9,530396;1;3;3;yellow
2;14;11,04592;1;1;1;yellow
2;15;12,18012;1;4;4;yellow
2;16;13,3285;1;2;2;yellow
3;17;5,416122;1;2;2;blue
3;18;6,198044;1;3;3;blue
3;19;7,381157;1;1;1;blue
3;20;8,263985;1;4;4;blue
3;21;9,596733;1;3;3;blue
3;22;10,81293;1;1;1;blue
3;23;11,91251;1;2;2;blue
3;24;12,66197;1;4;4;blue
4;25;4,39962;1;3;3;green
4;26;5,565216;1;4;4;green
4;27;6,731361;1;2;2;green
4;28;7,680855;1;1;1;green
4;29;10,91316;1;3;3;green
4;30;11,86278;1;2;2;green
4;31;12,67912;1;4;4;green
4;32;13,61256;1;1;1;green
5;33;5,281395;1;2;2;blue
5;34;7,16452;1;3;3;blue
5;35;8,497749;1;1;1;blue
5;36;9,879845;1;4;4;blue
5;37;13,08436;1;3;3;blue
5;38;14,4282;1;1;1;blue
5;39;15,71078;1;2;2;blue
5;40;16,49416;1;4;4;blue
6;41;4,53183;1;3;3;green
6;42;6,064285;1;4;4;green
6;43;7,380676;1;2;2;green
6;44;8,280212;1;1;1;green
6;45;10,11308;1;3;3;green
6;46;12,2791;1;2;2;green
6;47;13,47856;1;4;4;green
6;48;14,37827;1;1;1;green
7;49;5,031784;1;2;2;blue
7;50;6,214783;1;3;3;blue
7;51;7,014786;1;1;1;blue
7;52;7,497696;1;4;4;blue
7;53;9,163666;1;3;3;blue
7;54;10,12976;1;1;1;blue
7;55;11,3293;1;2;2;blue
7;56;11,89682;1;4;4;blue
8;57;5,764053;1;2;2;blue
8;58;6,830353;1;3;3;blue
8;59;8,01326;1;1;1;blue
8;60;8,546188;1;4;4;blue
8;61;9,712708;1;3;3;blue
8;62;10,97861;1;1;1;blue
8;63;12,52808;1;2;2;blue
8;64;13,51192;1;4;4;blue
9;65;4,76442;1;2;2;blue
9;66;6,364883;1;3;3;blue
9;67;7,580505;1;1;1;blue
9;68;8,79628;1;4;4;blue
9;69;10,6458;1;3;3;blue
9;70;11,92874;1;1;1;blue
9;71;13,11159;1;2;2;blue
9;72;14,09512;1;4;4;blue
10;73;5,714157;1;2;2;blue
10;74;7,097122;1;3;3;blue
10;75;8,33049;1;1;1;blue
10;76;9,513031;1;4;4;blue
10;77;15,84399;1;3;3;blue
10;78;17,37709;1;1;1;blue
10;79;18,89337;1;2;2;blue
10;80;20,02559;1;4;4;blue
11;81;5,132263;1;2;2;blue
11;82;6,381577;1;3;3;blue
11;83;7,597992;1;1;1;blue
11;84;8,164886;1;4;4;blue
11;85;10,98045;1;3;3;blue
11;86;12,09637;1;1;1;blue
11;87;13,14615;1;2;2;blue
11;88;14,54541;1;4;4;blue
12;89;10,39644;1;2;2;blue
12;90;11,29631;1;3;3;blue
12;91;12,24617;1;1;1;blue
12;92;12,96277;1;4;4;blue
12;93;14,87991;1;3;3;blue
12;94;15,71144;1;1;1;blue
12;95;16,89427;1;2;2;blue
12;96;17,62747;1;4;4;blue
13;97;5,748001;1;2;2;blue
13;98;6,497711;1;3;3;blue
13;99;7,64772;1;1;1;blue
13;100;8,197296;1;4;4;blue
13;101;9,56337;1;3;3;blue
13;102;10,52963;1;1;1;blue
13;103;12,16252;1;2;2;blue
13;104;12,64613;1;4;4;blue
14;105;7,763748;1;3;3;green
14;106;8,713547;1;4;4;green
14;107;9,51265;1;2;2;green
14;108;10,37932;1;1;1;green
14;109;11,77876;1;3;3;green
14;110;12,76152;1;2;2;green
14;111;13,76137;1;4;4;green
14;112;14,44466;1;1;1;green
15;113;5,931335;1;2;2;yellow
15;114;7,914032;1;1;1;yellow
15;115;9,130615;1;4;4;yellow
15;116;10,64612;1;1;1;yellow
15;117;11,77881;1;3;3;yellow
15;118;12,84607;1;2;2;yellow
15;119;14,4465;1;4;4;yellow
15;120;16,02902;1;3;3;yellow
16;121;5,863312;1;2;2;blue
16;122;6,746826;1;3;3;blue
16;123;8,646057;1;1;1;blue
16;124;9,628784;1;4;4;blue
16;125;10,7782;1;3;3;blue
16;126;11,86172;1;1;1;blue
16;127;12,86273;1;2;2;blue
16;128;13,59424;1;4;4;blue
17;129;6,064728;1;2;2;yellow
17;130;7,480774;1;3;3;yellow
17;131;8,813416;1;1;1;yellow
17;132;9,813324;1;4;4;yellow
17;133;10,84644;1;3;3;yellow
17;134;12,07922;1;1;1;yellow
17;135;13,24573;1;2;2;yellow
17;136;14,12827;1;4;4;yellow
18;137;9,14743;1;3;3;green
18;138;10,4465;1;4;4;green
18;139;11,76303;1;2;2;green
18;140;12,7291;1;1;1;green
18;141;13,67999;1;3;3;green
18;142;14,92834;1;2;2;green
18;143;15,86163;1;4;4;green
18;144;16,8446;1;1;1;green
19;145;4,315277;1;3;3;green
19;146;5,198364;1;4;4;green
19;147;6,430847;1;2;2;green
19;148;6,99765;1;1;1;green
19;149;9,196838;1;3;3;green
19;150;9,830994;1;2;2;green
19;151;10,99603;1;4;4;green
19;152;11,6127;1;1;1;green
20;153;6,264526;1;2;2;blue
20;154;6,947693;1;3;3;blue
20;155;7,948425;1;1;1;blue
20;156;8,596924;1;4;4;blue
20;157;9,613495;1;3;3;blue
20;158;10,71286;1;1;1;blue
20;159;13,17902;1;2;2;blue
20;160;13,94522;1;4;4;blue
21;161;4,515503;1;2;2;blue
21;162;5,58255;1;3;3;blue
21;163;6,847656;1;1;1;blue
21;164;7,76413;1;4;4;blue
21;165;11,38055;1;3;3;blue
21;166;12,41269;1;1;1;blue
21;167;13,66287;1;2;2;blue
21;168;14,22833;1;4;4;blue
22;169;5,898285;1;2;2;blue
22;170;6,531342;1;3;3;blue
22;171;7,481018;1;1;1;blue
22;172;8,214081;1;4;4;blue
22;173;9,747192;1;3;3;blue
22;174;10,51315;1;1;1;blue
22;175;11,54654;1;2;2;blue
22;176;12,79678;1;4;4;blue
23;177;6,863556;1;3;3;green
23;178;7,596741;1;4;4;green
23;179;8,996033;1;2;2;green
23;180;9,762115;1;1;1;green
23;181;10,52893;1;3;3;green
23;182;11,57901;1;2;2;green
23;183;12,76151;1;4;4;green
23;184;13,56168;1;1;1;green
24;185;5,330872;1;3;3;green
24;186;6,247437;1;4;4;green
24;187;7,813385;1;2;2;green
24;188;8,546417;1;1;1;green
24;189;13,36148;1;3;3;green
24;190;13,82834;1;2;2;green
24;191;14,69473;1;4;4;green
24;192;15,24426;1;1;1;green
25;193;7,480988;1;1;1;yellow
25;194;8,563782;1;2;2;yellow
25;195;9,946625;1;4;4;yellow
25;196;10,76309;1;1;1;yellow
25;197;11,64612;1;3;3;yellow
25;198;12,74542;1;4;4;yellow
25;199;14,17844;1;2;2;yellow
25;200;15,57828;1;3;3;yellow
26;201;8,147064;1;3;3;green
26;202;9,36322;1;4;4;green
