BlockNumber;EventNumber;Time Since Block start;isHit;target;pressed;sequence
1;1;7,347778;1;4;4;yellow
1;2;7,931351;1;3;3;yellow
1;3;8,513123;1;1;1;yellow
1;4;9,4646;1;4;4;yellow
1;5;10,74597;1;3;3;yellow
1;6;11,42911;1;1;1;yellow
1;7;12,92844;1;4;4;yellow
1;8;13,54466;1;2;2;yellow
2;9;4,099335;1;4;4;yellow
2;10;4,932053;1;3;3;yellow
2;11;5,482407;1;1;1;yellow
2;12;6,381607;1;4;4;yellow
2;13;7,314651;1;3;3;yellow
2;14;8,248398;1;1;1;yellow
2;15;9,013809;1;4;4;yellow
2;16;9,846893;1;2;2;yellow
3;17;4,365585;1;2;2;blue
3;18;5,016617;1;3;3;blue
3;19;5,631912;1;1;1;blue
3;20;6,214676;1;4;4;blue
3;21;7,132645;1;3;3;blue
3;22;7,697525;1;1;1;blue
3;23;8,447205;1;2;2;blue
3;24;9,014557;1;4;4;blue
4;25;4,699036;1;3;3;green
4;26;5,330704;1;4;4;green
4;27;5,947067;1;2;2;green
4;28;6,414978;1;1;1;green
4;29;7,347031;1;3;3;green
4;30;8,147049;1;2;2;green
4;31;8,814423;1;4;4;green
4;32;9,396683;1;1;1;green
5;33;5,865311;1;2;2;blue
5;34;6,680435;1;3;3;blue
5;35;6,914108;0;1;3;blue
5;36;11,31206;0;4;1;blue
5;37;21,6761;1;3;3;blue
5;38;22,3246;1;1;1;blue
5;39;23,15807;1;2;2;blue
5;40;23,89107;1;4;4;blue
6;41;5,231781;1;3;3;green
6;42;5,849182;1;4;4;green
6;43;6,449158;1;2;2;green
6;44;7,031128;1;1;1;green
6;45;7,964966;1;3;3;green
6;46;8,697296;1;2;2;green
6;47;9,430145;1;4;4;green
6;48;9,996643;1;1;1;green
7;49;6,515137;1;2;2;blue
7;50;7,730743;1;3;3;blue
7;51;8,347809;1;1;1;blue
7;52;8,930481;1;4;4;blue
7;53;9,663544;1;3;3;blue
7;54;10,43097;1;1;1;blue
7;55;11,19662;1;2;2;blue
7;56;12,41403;1;4;4;blue
8;57;3,980713;1;2;2;blue
8;58;4,597443;1;3;3;blue
8;59;5,313873;1;1;1;blue
8;60;5,930573;1;4;4;blue
8;61;6,53067;1;3;3;blue
8;62;7,529633;1;1;1;blue
8;63;8,513123;1;2;2;blue
8;64;9,0625;1;4;4;blue
9;65;5,016144;1;2;2;blue
9;66;5,697693;1;3;3;blue
9;67;6,465118;1;1;1;blue
9;68;7,015106;1;4;4;blue
9;69;7,630341;1;3;3;blue
9;70;8,379791;1;1;1;blue
9;71;9,063293;1;2;2;blue
9;72;9,897614;1;4;4;blue
10;73;4,448364;1;2;2;blue
10;74;4,530487;0;3;2;blue
10;75;8,363464;1;1;1;blue
10;76;8,995758;1;4;4;blue
10;77;11,16193;1;3;3;blue
10;78;12,52765;1;1;1;blue
10;79;13,21094;1;2;2;blue
10;80;14,04379;1;4;4;blue
11;81;4,132141;1;2;2;blue
11;82;4,69873;1;3;3;blue
11;83;5,314972;1;1;1;blue
11;84;5,898193;1;4;4;blue
11;85;6,514465;1;3;3;blue
11;86;7,131165;1;1;1;blue
11;87;7,832458;1;2;2;blue
11;88;8,881897;1;4;4;blue
12;89;4,513641;1;2;2;blue
12;90;5,080231;1;3;3;blue
12;91;6,079712;1;1;1;blue
12;92;6,730865;1;4;4;blue
12;93;7,397736;1;3;3;blue
12;94;8,263885;1;1;1;blue
12;95;8,830048;1;2;2;blue
12;96;9,345551;1;4;4;blue
13;97;4,348175;1;2;2;blue
13;98;4,982056;1;3;3;blue
13;99;5,747955;1;1;1;blue
13;100;6,397827;1;4;4;blue
13;101;7,530609;1;3;3;blue
13;102;8,197662;1;1;1;blue
13;103;9,01358;1;2;2;blue
13;104;9,563446;1;4;4;blue
14;105;4,6651;1;3;3;green
14;106;5,231537;1;4;4;green
14;107;5,864441;1;2;2;green
14;108;6,364136;1;1;1;green
14;109;7,314056;1;3;3;green
14;110;7,980865;1;2;2;green
